Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
37,Brandon Austin,eng ENG,GK,Tottenham,26-123,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
38,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-272,1997,4.5,6,3,0,3,3,4,5,80.0,1,1,0,1,0,6,7,0,Matches
39,Yasin Ayari,se SWE,MF,Brighton,21-217,2003,20.5,56,31,15,30,11,23,53,43.4,30,23,6,17,20,76,25,0,Matches
40,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-242,1991,0.2,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
41,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-242,1991,15.8,24,13,7,12,5,6,19,31.6,13,16,0,16,12,36,17,0,Matches
42,Benoît Badiashile,fr FRA,DF,Chelsea,24-046,2001,3.7,9,6,5,4,0,4,5,80.0,1,2,2,0,6,15,12,2,Matches
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-275,1997,12.6,6,4,1,3,2,2,10,20.0,8,6,0,6,3,9,12,0,Matches
44,Carlos Baleba,cm CMR,MF,Brighton,21-128,2004,27.6,73,42,25,33,15,46,76,60.5,30,44,10,34,43,116,42,1,Matches
45,Ross Barkley,eng ENG,MF,Aston Villa,31-157,1993,6.3,14,3,4,10,0,9,14,64.3,5,9,3,6,10,24,5,0,Matches
46,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-153,1997,16.7,16,9,4,6,6,3,10,30.0,7,7,1,6,6,22,12,1,Matches
47,Calvin Bassey,ng NGA,DF,Fulham,25-131,1999,33.2,53,33,34,19,0,21,30,70.0,9,39,17,22,19,72,111,8,Matches
48,Altay Bayındır,tr TUR,GK,Manchester Utd,27-027,1998,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches
49,Jan Bednarek,pl POL,DF,Southampton,29-029,1996,28.1,36,19,23,13,0,16,31,51.6,15,47,36,11,56,92,190,5,Matches
50,Armel Bella Kotchap,de GER,DF,Southampton,23-151,2001,3.7,7,5,5,2,0,3,6,50.0,3,2,2,0,5,12,21,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-318,1998,17.6,37,22,17,17,3,13,19,68.4,6,19,3,16,10,47,18,1,Matches
52,Rodrigo Bentancur,uy URU,MF,Tottenham,27-320,1997,16.9,38,20,17,17,4,19,39,48.7,20,24,8,16,36,74,33,1,Matches
53,Daniel Bentley,eng ENG,GK,Wolves,31-302,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
54,Sander Berge,no NOR,MF,Fulham,27-086,1998,24.1,48,28,22,22,4,25,37,67.6,12,26,8,18,21,69,36,1,Matches
55,Lucas Bergvall,se SWE,MF,Tottenham,19-098,2006,13.5,39,19,14,20,5,17,32,53.1,15,18,8,10,24,63,22,3,Matches
56,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-146,2002,26.4,85,50,54,26,5,47,87,54.0,40,37,14,23,40,125,72,3,Matches
57,Beto,gw GNB,FW,Everton,27-100,1998,15.1,14,6,2,8,4,5,8,62.5,3,10,1,9,3,17,21,1,Matches
58,Philip Billing,dk DEN,MF,Bournemouth,28-334,1996,2.0,14,5,7,6,1,3,4,75.0,1,3,0,3,5,19,2,0,Matches
59,Yves Bissouma,ml MLI,MF,Tottenham,28-254,1996,14.4,47,29,19,25,3,18,33,54.5,15,9,6,3,16,63,35,4,Matches
60,Oscar Bobb,no NOR,FW,Manchester City,21-303,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
61,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-126,2004,5.3,14,6,6,6,2,10,16,62.5,6,5,3,2,1,15,13,0,Matches
62,Willy Boly,ci CIV,DF,Nott'ham Forest,34-097,1991,1.7,6,1,5,1,0,4,4,100.0,0,4,2,2,3,9,12,0,Matches
63,Sven Botman,nl NED,DF,Newcastle Utd,25-119,2000,2.6,6,4,3,3,0,2,3,66.7,1,2,1,1,4,10,16,0,Matches
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-142,1996,30.2,37,24,13,10,14,17,37,45.9,20,21,3,18,16,53,23,0,Matches
65,Conor Bradley,nir NIR,DF,Liverpool,21-306,2003,6.3,11,8,5,4,2,8,17,47.1,9,4,0,4,3,14,21,0,Matches
66,Jarrad Branthwaite,eng ENG,DF,Everton,22-318,2002,27.1,36,20,26,10,0,20,27,74.1,7,31,23,8,25,61,190,4,Matches
67,James Bree,eng ENG,DF,Southampton,27-212,1997,10.9,18,13,8,9,1,10,25,40.0,15,9,3,6,8,26,28,0,Matches
68,Ben Brereton,cl CHI,FW,Southampton,26-023,1999,5.0,3,2,0,2,1,1,9,11.1,8,2,1,1,0,3,4,0,Matches
69,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-036,1998,6.7,7,3,2,5,0,3,9,33.3,6,6,1,5,4,11,5,0,Matches
70,Armando Broja,al ALB,FW,Everton,23-243,2001,3.7,3,1,1,1,1,0,0,,0,3,0,3,1,4,4,0,Matches
71,David Brooks,wls WAL,"FW,MF",Bournemouth,27-307,1997,9.5,12,5,2,7,3,1,14,7.1,13,16,2,14,5,17,8,1,Matches
72,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-137,1996,1.1,6,6,3,2,1,0,5,0.0,5,5,1,4,0,6,2,0,Matches
73,Santiago Bueno,uy URU,DF,Wolves,26-183,1998,18.7,40,21,21,18,1,17,22,77.3,5,35,20,15,15,55,70,0,Matches
74,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-139,2004,16.4,53,32,17,22,14,21,67,31.3,46,32,6,26,11,64,14,0,Matches
75,Cameron Burgess,au AUS,DF,Ipswich Town,29-202,1995,17.1,17,12,14,3,0,9,11,81.8,2,20,15,5,14,31,128,3,Matches
