Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
37,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,22-031,2003,18.5,33,15,9,15,9,14,31,45.2,17,9,1,8,8,41,4,0,Matches
38,Marco Asensio,es ESP,"FW,MF",Paris S-G,29-110,1996,6.9,4,3,1,3,0,0,6,0.0,6,1,0,1,0,4,1,0,Matches
39,Lorenz Assignon,tg TOG,"DF,MF",Rennes,24-323,2000,25.2,46,24,23,21,2,16,40,40.0,24,19,3,16,24,70,74,0,Matches
40,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,20-024,2005,1.1,6,3,0,4,2,4,5,80.0,1,1,0,1,1,7,4,0,Matches
41,Valentin Atangana Edoa,fr FRA,MF,Reims,19-259,2005,30.7,68,50,32,29,7,27,37,73.0,10,31,15,16,36,104,60,0,Matches
42,Florian Ayé,fr FRA,FW,Auxerre,28-112,1997,6.3,2,2,0,0,2,0,2,0.0,2,7,0,7,7,9,6,0,Matches
43,André Ayew,gh GHA,FW,Le Havre,35-145,1989,15.4,18,10,3,7,8,7,13,53.8,6,9,2,7,3,21,21,1,Matches
44,Neil El Aynaoui,fr FRA,MF,Lens,23-313,2001,16.7,38,21,17,15,6,12,34,35.3,22,34,8,26,27,65,29,0,Matches
45,Shavy Babicka,ga GAB,"MF,FW",Toulouse,24-344,2000,13.1,21,12,6,11,4,10,21,47.6,11,14,0,14,3,24,4,3,Matches
46,Juma Bah,sl SLE,DF,Lens,19-030,2006,6.6,14,10,5,9,0,5,7,71.4,2,10,7,3,16,30,46,1,Matches
47,Theo Bair,ca CAN,FW,Auxerre,25-257,1999,10.4,4,3,1,2,1,0,2,0.0,2,6,2,4,3,7,10,0,Matches
48,Mitchel Bakker,nl NED,"FW,DF",Lille,24-325,2000,12.7,23,13,6,11,6,10,19,52.6,9,10,1,9,12,35,15,0,Matches
49,Darryl Bakola,fr FRA,"DF,MF",Marseille,17-162,2007,0.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
50,Dilane Bakwa,fr FRA,"MF,DF",Strasbourg,22-258,2002,26.9,26,14,11,8,7,12,24,50.0,12,20,1,19,14,40,27,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Leonardo Balerdi,ar ARG,DF,Marseille,26-105,1999,24.3,50,35,28,17,5,25,45,55.6,20,24,14,10,32,82,70,4,Matches
52,Fodé Ballo-Touré,sn SEN,DF,Le Havre,28-128,1997,5.7,8,7,3,4,1,5,8,62.5,3,8,3,5,3,11,25,0,Matches
53,Folarin Balogun,us USA,FW,Monaco,23-312,2001,6.8,1,1,0,0,1,0,4,0.0,4,0,0,0,1,2,0,0,Matches
54,Abdoulaye Bamba,ci CIV,DF,Angers,35-016,1990,16.8,22,12,17,4,1,14,19,73.7,5,14,8,6,19,41,79,0,Matches
55,Mohamed Bamba,ci CIV,MF,Reims,20-215,2004,0.1,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,1,0,Matches
56,Valentín Barco,ar ARG,"MF,DF",Strasbourg,20-292,2004,12.1,36,22,24,10,2,22,30,73.3,8,7,3,4,11,47,26,1,Matches
57,Bradley Barcola,fr FRA,FW,Paris S-G,22-251,2002,23.6,26,16,10,7,9,8,31,25.8,23,25,2,23,19,45,11,0,Matches
58,Melvin Bard,fr FRA,"DF,MF",Nice,24-186,2000,20.5,52,35,35,13,4,24,42,57.1,18,36,13,23,29,81,58,3,Matches
59,Gabriel Bares,ch SUI,"MF,DF",Montpellier,24-255,2000,0.6,2,2,2,0,0,1,2,50.0,1,0,0,0,1,3,3,0,Matches
60,Dylan Batubinsika,cd COD,DF,Saint-Étienne,29-085,1996,21.9,25,13,19,5,1,13,22,59.1,9,23,14,9,38,63,139,3,Matches
61,Haris Belkebla,dz ALG,MF,Angers,31-103,1994,19.9,56,38,38,15,3,26,45,57.8,19,30,9,21,35,91,46,1,Matches
