Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
529,Stoichkov,es ESP,"MF,FW",Alavés,31-187,1993,7.8,0,18,3,16.7,2.32,0.39,0.00,0.00,19.8,1,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
530,Cristhian Stuani,uy URU,FW,Girona,38-211,1986,10.0,9,29,14,48.3,2.89,1.40,0.21,0.43,13.2,0,3,3,7.0,4.7,0.16,+2.0,+1.3,Matches
531,Álex Suárez,es ESP,DF,Las Palmas,32-054,1993,26.6,0,5,3,60.0,0.19,0.11,0.00,0.00,11.3,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
532,Denis Suárez,es ESP,MF,Villarreal,31-125,1994,5.9,1,9,3,33.3,1.53,0.51,0.11,0.33,16.0,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches
533,Luka Sučić,hr CRO,MF,Real Sociedad,22-245,2002,18.5,1,40,11,27.5,2.17,0.60,0.03,0.09,23.5,1,0,0,3.2,3.2,0.08,-2.2,-2.2,Matches
534,Suso,es ESP,"FW,MF",Sevilla,31-173,1993,3.9,0,11,4,36.4,2.80,1.02,0.00,0.00,23.6,2,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
535,Williot Swedberg,se SWE,"FW,MF",Celta Vigo,21-099,2004,13.8,4,28,15,53.6,2.04,1.09,0.14,0.27,15.2,0,0,0,5.0,5.0,0.18,-1.0,-1.0,Matches
536,Mamadou Sylla,sn SEN,"FW,MF",Valladolid,31-052,1994,16.5,5,18,3,16.7,1.09,0.18,0.06,0.33,17.4,0,4,4,5.1,2.0,0.11,-0.1,-1.0,Matches
537,Wojciech Szczęsny,pl POL,GK,Barcelona,35-023,1990,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
538,Alexander Sørloth,no NOR,FW,Atlético Madrid,29-157,1995,15.6,17,64,29,45.3,4.11,1.86,0.25,0.55,12.6,0,1,1,12.7,11.9,0.19,+4.3,+4.1,Matches
539,Renato Tapia,pe PER,"MF,DF",Leganés,29-287,1995,23.2,1,9,5,55.6,0.39,0.22,0.11,0.20,25.7,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
540,César Tárrega,es ESP,DF,Valencia,23-074,2002,30.6,2,17,5,29.4,0.56,0.16,0.12,0.40,10.1,0,0,0,1.8,1.8,0.11,+0.2,+0.2,Matches
541,Aurélien Tchouaméni,fr FRA,"DF,MF",Real Madrid,25-104,2000,27.3,0,16,3,18.8,0.59,0.11,0.00,0.00,17.7,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Matches
542,Álvaro Tejero,es ESP,"MF,DF",Espanyol,28-295,1996,13.2,1,17,4,23.5,1.29,0.30,0.06,0.25,26.1,6,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches
543,Martín Tejón,es ESP,"MF,DF",Valencia,21-029,2004,0.5,0,1,0,0.0,1.84,0.00,0.00,,11.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
544,Nahuel Tenaglia,ar ARG,DF,Alavés,29-079,1996,29.3,2,22,5,22.7,0.75,0.17,0.09,0.40,14.2,0,0,0,2.1,2.1,0.09,-0.1,-0.1,Matches
545,Marc-André ter Stegen,de GER,GK,Barcelona,33-011,1992,6.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
546,Ramón Terrats,es ESP,"MF,FW",Villarreal,24-205,2000,1.5,0,2,0,0.0,1.37,0.00,0.00,,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
547,Ramón Terrats,es ESP,"MF,FW",Getafe,24-205,2000,11.1,4,16,7,43.8,1.45,0.63,0.25,0.57,20.0,1,0,0,2.1,2.1,0.13,+1.9,+1.9,Matches
548,Raúl de Tomás,es ESP,"DF,FW",Rayo Vallecano,30-206,1994,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
549,Pablo Torre,es ESP,"MF,FW",Barcelona,22-038,2003,3.4,3,6,4,66.7,1.74,1.16,0.50,0.75,23.5,1,0,0,0.4,0.4,0.06,+2.6,+2.6,Matches
550,David Torres,es ESP,DF,Valladolid,22-067,2003,15.4,0,3,1,33.3,0.19,0.06,0.00,0.00,10.1,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
551,Ferrán Torres,es ESP,"FW,MF",Barcelona,25-071,2000,11.3,10,44,22,50.0,3.89,1.94,0.23,0.45,14.8,2,0,0,7.1,7.1,0.16,+2.9,+2.9,Matches
552,Lucas Torró,es ESP,MF,Osasuna,30-296,1994,29.4,3,24,7,29.2,0.82,0.24,0.13,0.43,17.6,0,0,0,1.7,1.7,0.07,+1.3,+1.3,Matches
553,Hamari Traoré,ml MLI,DF,Real Sociedad,33-104,1992,6.4,0,1,0,0.0,0.16,0.00,0.00,,14.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
554,Óscar Trejo,ar ARG,MF,Rayo Vallecano,37-015,1988,5.4,1,5,2,40.0,0.93,0.37,0.20,0.50,16.5,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Matches
