Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
232,Tom Krauß,de GER,MF,Bochum,23-323,2001,12.0,492,615,80.0,8962,2811,201,231,87.0,240,276,87.0,49,81,60.5,0,0.7,1.0,-0.7,12,76,9,0,84,Matches
233,Rasmus Kristensen,dk DEN,DF,Eint Frankfurt,27-304,1997,25.9,1177,1515,77.7,19195,7881,620,685,90.5,454,580,78.3,84,172,48.8,2,2.4,4.6,-0.4,17,127,31,8,157,Matches
234,Lukas Kübler,de GER,DF,Freiburg,32-254,1992,20.2,793,1026,77.3,13572,4351,349,406,86.0,354,437,81.0,69,132,52.3,1,0.8,1.0,+0.2,11,76,15,5,77,Matches
235,Jonah Kusi-Asare,se SWE,FW,Bayern Munich,17-311,2007,0.0,1,1,100.0,6,6,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
236,Moritz-Broni Kwarteng,gh GHA,"MF,FW",Bochum,27-013,1998,1.9,62,78,79.5,933,228,30,33,90.9,21,24,87.5,6,7,85.7,0,0.2,0.2,-0.2,4,7,6,0,12,Matches
237,Nediljko Labrović,hr CRO,GK,Augsburg,25-213,1999,15.0,354,504,70.2,10392,7820,57,57,100.0,177,181,97.8,119,262,45.4,0,0.0,0.1,0.0,0,10,1,0,0,Matches
238,Konrad Laimer,at AUT,DF,Bayern Munich,27-349,1997,18.1,1016,1157,87.8,14161,3650,602,655,91.9,375,421,89.1,14,27,51.9,2,2.7,3.1,-0.7,20,96,24,4,131,Matches
239,Stefan Lainer,at AUT,DF,Gladbach,32-257,1992,7.7,329,425,77.4,5426,1671,160,184,87.0,147,187,78.6,16,34,47.1,0,0.9,0.4,-0.9,8,19,7,6,23,Matches
240,Hugo Larsson,se SWE,MF,Eint Frankfurt,20-318,2004,24.6,1028,1177,87.3,15900,4667,527,574,91.8,407,447,91.1,56,89,62.9,0,1.5,1.6,-1.5,20,84,19,3,113,Matches
241,Diogo Leite,pt POR,DF,Union Berlin,26-108,1999,28.3,1099,1398,78.6,20381,8856,470,538,87.4,466,550,84.7,132,235,56.2,2,1.0,2.4,+1.0,13,110,11,3,116,Matches
