Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
505,Saidou Sow,gn GUI,DF,Nantes,22-312,2002,9,9,799,8.9,1,0,1,1,0,0,1,0,0.6,0.6,0.4,1.1,2,15,0,0.11,0.00,0.11,0.11,0.11,0.07,0.05,0.12,0.07,0.12,Matches
506,Lucas Stassin,be BEL,FW,Saint-Étienne,20-165,2004,27,22,1797,20.0,10,4,14,10,0,0,4,0,7.0,7.0,3.4,10.4,26,35,149,0.50,0.20,0.70,0.50,0.70,0.35,0.17,0.53,0.35,0.52,Matches
507,Enzo Sternal,fr FRA,"FW,MF",Marseille,17-349,2007,2,0,24,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches
508,Gabriel Suazo,cl CHI,DF,Toulouse,27-276,1997,30,23,2163,24.0,0,6,6,0,0,0,0,0,0.8,0.8,3.8,4.7,42,109,118,0.00,0.25,0.25,0.00,0.25,0.03,0.16,0.19,0.03,0.19,Matches
509,Abakar Sylla,ci CIV,DF,Strasbourg,22-138,2002,21,10,950,10.6,1,0,1,1,0,0,2,1,0.4,0.4,0.1,0.5,0,21,3,0.09,0.00,0.09,0.09,0.09,0.04,0.01,0.05,0.04,0.05,Matches
510,Issiaga Sylla,gn GUI,DF,Montpellier,31-131,1994,18,15,1111,12.3,1,0,1,1,0,0,2,0,1.8,1.8,0.6,2.4,33,53,46,0.08,0.00,0.08,0.08,0.08,0.15,0.05,0.19,0.15,0.19,Matches
511,Musa Al-Taamari,jo JOR,"FW,MF",Montpellier,27-336,1997,15,12,1116,12.4,2,1,3,2,0,0,3,0,2.6,2.6,1.5,4.1,55,30,76,0.16,0.08,0.24,0.16,0.24,0.21,0.12,0.33,0.21,0.33,Matches
512,Musa Al-Taamari,jo JOR,"FW,MF",Rennes,27-336,1997,11,7,567,6.3,1,0,1,1,0,0,1,0,2.4,2.4,1.3,3.8,21,8,39,0.16,0.00,0.16,0.16,0.16,0.39,0.21,0.60,0.39,0.60,Matches
513,Nicolás Tagliafico,ar ARG,DF,Lyon,32-254,1992,23,21,1812,20.1,3,1,4,3,0,0,7,0,2.9,2.9,0.8,3.7,30,91,75,0.15,0.05,0.20,0.15,0.20,0.14,0.04,0.18,0.14,0.18,Matches
514,Axel Tapé,fr FRA,"DF,MF",Paris S-G,17-275,2007,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,5,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches
515,Florian Tardieu,fr FRA,MF,Saint-Étienne,33-020,1992,22,11,1072,11.9,1,4,5,1,0,0,0,0,0.4,0.4,1.3,1.7,11,124,40,0.08,0.34,0.42,0.08,0.42,0.04,0.11,0.14,0.04,0.14,Matches
516,Oussama Targhalline,ma MAR,MF,Le Havre,22-357,2002,14,12,990,11.0,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.9,25,66,34,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.08,0.01,0.08,Matches
517,Enzo Tchato,cm CMR,DF,Montpellier,22-170,2002,26,20,1875,20.8,0,0,0,0,0,0,3,0,0.1,0.1,1.5,1.7,44,62,93,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Matches
518,Arnau Tenas,es ESP,GK,Paris S-G,23-347,2001,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,1.00,1.00,0.00,1.00,0.00,0.21,0.21,0.00,0.21,Matches
519,Tanner Tessmann,us USA,MF,Lyon,23-230,2001,24,12,1166,13.0,1,0,1,1,0,0,3,0,0.9,0.9,0.6,1.5,11,48,25,0.08,0.00,0.08,0.08,0.08,0.07,0.05,0.12,0.07,0.12,Matches
520,Teddy Teuma,mt MLT,MF,Reims,31-224,1993,17,9,750,8.3,1,0,1,0,1,1,1,0,1.4,0.6,1.1,1.7,9,47,34,0.12,0.00,0.12,0.00,0.00,0.17,0.13,0.30,0.07,0.21,Matches
