Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
22,Tadeo Allende,ar ARG,FW,Celta Vigo,26-080,1999,1,0,2,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
23,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24-346,2000,32,22,1821,20.2,0,3,3,0,0,0,2,0,1.2,1.2,2.8,4.0,41,132,73,0.00,0.15,0.15,0.00,0.15,0.06,0.14,0.20,0.06,0.20,Matches
24,Iker Almena,es ESP,"FW,DF",Girona,21-007,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.00,1.87,1.87,0.00,1.87,0.06,1.27,1.33,0.06,1.33,Matches
25,Marcos Alonso,es ESP,DF,Celta Vigo,34-134,1990,29,27,2474,27.5,2,0,2,0,2,2,9,2,2.9,1.3,1.0,2.3,57,201,46,0.07,0.00,0.07,0.00,0.00,0.10,0.04,0.14,0.05,0.08,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Adrià Altimira,es ESP,"DF,FW",Leganés,24-044,2001,18,15,1270,14.1,0,0,0,0,0,0,5,0,0.3,0.3,0.2,0.5,18,38,49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,Matches
27,Sergi Altimira,es ESP,MF,Betis,23-259,2001,29,19,1759,19.5,0,1,1,0,0,0,3,0,1.7,1.6,1.6,3.2,19,92,25,0.00,0.05,0.05,0.00,0.05,0.09,0.08,0.17,0.08,0.16,Matches
28,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21-313,2003,25,16,1560,17.3,4,3,7,4,0,0,6,0,2.5,2.5,1.1,3.6,73,58,169,0.23,0.17,0.40,0.23,0.40,0.14,0.07,0.21,0.14,0.21,Matches
29,Julián Álvarez,ar ARG,FW,Atlético Madrid,25-100,2000,34,27,2268,25.2,15,2,17,11,4,4,5,0,12.4,9.3,3.5,12.8,69,77,146,0.60,0.08,0.67,0.44,0.52,0.49,0.14,0.63,0.37,0.51,Matches
30,Yeray Álvarez,es ESP,DF,Athletic Club,30-107,1995,19,18,1601,17.8,1,0,1,1,0,0,4,0,0.5,0.5,0.2,0.7,18,103,0,0.06,0.00,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04,Matches
31,Selim Amallah,ma MAR,MF,Valladolid,28-177,1996,23,17,1331,14.8,3,1,4,2,1,1,6,0,2.8,2.0,1.0,3.0,24,54,25,0.20,0.07,0.27,0.14,0.20,0.19,0.07,0.26,0.14,0.20,Matches
32,Amath,sn SEN,"FW,DF",Valladolid,28-299,1996,11,5,352,3.9,0,1,1,0,0,0,1,0,0.4,0.4,0.2,0.6,8,12,26,0.00,0.26,0.26,0.00,0.26,0.09,0.05,0.14,0.09,0.14,Matches
33,Marcos André,br BRA,FW,Valladolid,28-203,1996,22,14,1188,13.2,1,2,3,1,0,0,5,0,2.7,2.7,0.8,3.5,11,16,39,0.08,0.15,0.23,0.08,0.23,0.20,0.06,0.27,0.20,0.27,Matches
34,Leandro Antonetti,pr PUR,FW,Sevilla,22-118,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.00,0.22,Matches
35,Antoniu,es ESP,"MF,FW",Espanyol,22-248,2002,23,11,881,9.8,0,1,1,0,0,0,3,0,0.9,0.9,1.1,1.9,33,26,53,0.00,0.10,0.10,0.00,0.10,0.09,0.11,0.20,0.09,0.20,Matches
36,Antony,br BRA,FW,Betis,25-076,2000,13,13,1102,12.2,4,2,6,4,0,0,1,1,2.6,2.6,3.1,5.7,79,50,134,0.33,0.16,0.49,0.33,0.49,0.22,0.25,0.47,0.22,0.47,Matches
37,Anuar,ma MAR,"MF,FW",Valladolid,30-116,1995,23,18,1513,16.8,2,0,2,2,0,0,7,0,1.5,1.5,0.5,2.0,22,23,56,0.12,0.00,0.12,0.12,0.12,0.09,0.03,0.12,0.09,0.12,Matches
38,Aritz Arambarri,es ESP,DF,Leganés,27-100,1998,2,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
39,Mauro Arambarri,uy URU,MF,Getafe,29-223,1995,32,28,2423,26.9,9,0,9,6,3,3,10,0,7.1,4.7,0.6,5.3,14,70,51,0.33,0.00,0.33,0.22,0.22,0.26,0.02,0.28,0.17,0.20,Matches
40,Jon Aramburu,ve VEN,DF,Real Sociedad,22-292,2002,32,27,2314,25.7,1,1,2,1,0,0,8,0,0.4,0.4,1.1,1.5,23,96,48,0.04,0.04,0.08,0.04,0.08,0.02,0.04,0.06,0.02,0.06,Matches
