Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Jim Allevinah,ga GAB,FW,Angers,30-073,1995,19.4,363,483,75.2,5265,1271,219,256,85.5,111,157,70.7,19,31,61.3,3,2.5,1.7,+0.5,15,28,13,3,48,Matches
27,Thiago Almada,ar ARG,"MF,FW",Lyon,24-015,2001,9.7,580,679,85.4,9309,2566,319,346,92.2,213,230,92.6,39,78,50.0,4,2.5,2.3,+1.5,19,54,18,2,89,Matches
28,Jordan Amavi,fr FRA,DF,Brest,31-063,1994,8.8,386,526,73.4,6269,2275,182,214,85.0,175,237,73.8,21,50,42.0,0,0.2,0.4,-0.2,6,28,6,1,36,Matches
29,Kelvin Amian,fr FRA,DF,Nantes,27-092,1998,23.1,691,867,79.7,11085,4788,364,398,91.5,257,320,80.3,50,100,50.0,0,0.8,1.7,-0.8,13,54,23,12,68,Matches
30,Michael Amir Murillo,pa PAN,DF,Marseille,29-089,1996,26.1,1616,1848,87.4,25264,8018,793,847,93.6,743,836,88.9,50,91,54.9,3,3.3,2.9,-0.3,24,140,19,4,137,Matches
31,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,18-297,2006,3.4,105,121,86.8,1566,280,54,59,91.5,42,47,89.4,3,7,42.9,0,0.6,0.9,-0.6,5,4,5,0,12,Matches
32,Mathis Amougou,fr FRA,MF,Saint-Étienne,19-113,2006,9.5,232,301,77.1,3514,1194,126,146,86.3,82,107,76.6,14,25,56.0,0,0.4,0.3,-0.4,7,23,4,0,36,Matches
33,Benjamin André,fr FRA,MF,Lille,34-281,1990,28.9,1530,1840,83.2,25667,6907,747,834,89.6,614,708,86.7,132,199,66.3,3,1.8,2.6,+1.2,19,193,17,3,199,Matches
34,Kyllian Antonio,fr FRA,"DF,MF",Lens,17-127,2008,1.5,81,97,83.5,1347,373,36,37,97.3,37,41,90.2,5,12,41.7,0,0.0,0.0,0.0,0,2,0,0,0,Matches
35,Dennis Appiah,fr FRA,DF,Saint-Étienne,32-336,1992,22.6,847,1108,76.4,13534,6163,446,510,87.5,343,418,82.1,44,115,38.3,1,2.1,2.2,-1.1,13,78,25,7,98,Matches
36,Carlens Arcus,ht HAI,DF,Angers,28-317,1996,21.7,768,973,78.9,12835,4586,378,424,89.2,314,399,78.7,67,109,61.5,1,1.3,1.4,-0.3,16,53,20,10,69,Matches
37,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,22-031,2003,18.5,711,896,79.4,11396,2811,352,411,85.6,284,328,86.6,50,90,55.6,3,2.7,2.8,+0.3,33,61,39,4,96,Matches
38,Marco Asensio,es ESP,"FW,MF",Paris S-G,29-110,1996,6.9,291,335,86.9,4166,808,183,196,93.4,80,93,86.0,19,26,73.1,4,2.7,1.7,+1.3,16,31,4,1,36,Matches
39,Lorenz Assignon,tg TOG,"DF,MF",Rennes,24-323,2000,25.2,984,1255,78.4,15322,5232,505,589,85.7,415,514,80.7,38,78,48.7,4,3.5,3.7,+0.5,27,68,28,12,112,Matches
40,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,20-024,2005,1.1,37,49,75.5,542,140,21,24,87.5,13,15,86.7,2,5,40.0,0,0.9,1.0,-0.9,4,1,2,2,1,Matches
41,Valentin Atangana Edoa,fr FRA,MF,Reims,19-259,2005,30.7,902,1048,86.1,13581,3704,484,525,92.2,373,416,89.7,23,49,46.9,0,1.1,0.7,-1.1,11,66,7,1,92,Matches
42,Florian Ayé,fr FRA,FW,Auxerre,28-112,1997,6.3,93,127,73.2,1208,144,61,78,78.2,22,29,75.9,3,4,75.0,0,0.1,0.1,-0.1,3,4,2,0,6,Matches
43,André Ayew,gh GHA,FW,Le Havre,35-145,1989,15.4,173,227,76.2,2117,255,110,131,84.0,50,62,80.6,0,4,0.0,1,0.2,0.2,+0.8,7,6,3,0,18,Matches
44,Neil El Aynaoui,fr FRA,MF,Lens,23-313,2001,16.7,789,931,84.7,12298,3369,420,457,91.9,276,314,87.9,53,92,57.6,1,1.9,2.3,-0.9,20,74,7,2,72,Matches
45,Shavy Babicka,ga GAB,"MF,FW",Toulouse,24-344,2000,13.1,194,289,67.1,2578,624,117,153,76.5,59,84,70.2,5,15,33.3,2,1.5,1.9,+0.5,12,8,12,5,20,Matches
46,Juma Bah,sl SLE,DF,Lens,19-030,2006,6.6,321,345,93.0,5473,1672,136,150,90.7,165,171,96.5,18,18,100.0,0,0.2,0.2,-0.2,2,7,0,0,9,Matches
47,Theo Bair,ca CAN,FW,Auxerre,25-257,1999,10.4,132,213,62.0,1538,359,84,122,68.9,28,49,57.1,3,8,37.5,1,1.2,0.9,-0.2,10,10,0,0,16,Matches
48,Mitchel Bakker,nl NED,"FW,DF",Lille,24-325,2000,12.7,499,641,77.8,8228,2642,252,290,86.9,188,235,80.0,45,75,60.0,2,2.7,2.3,-0.7,23,42,27,11,57,Matches
49,Darryl Bakola,fr FRA,"DF,MF",Marseille,17-162,2007,0.2,12,13,92.3,159,40,9,9,100.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
50,Dilane Bakwa,fr FRA,"MF,DF",Strasbourg,22-258,2002,26.9,786,1080,72.8,13242,4048,393,466,84.3,287,381,75.3,86,174,49.4,8,6.6,5.9,+1.4,47,66,38,10,125,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Leonardo Balerdi,ar ARG,DF,Marseille,26-105,1999,24.3,2288,2439,93.8,38329,14473,992,1021,97.2,1121,1162,96.5,122,181,67.4,0,0.7,0.8,-0.7,8,149,6,0,103,Matches
52,Fodé Ballo-Touré,sn SEN,DF,Le Havre,28-128,1997,5.7,228,275,82.9,3819,1265,106,113,93.8,103,119,86.6,14,24,58.3,0,0.1,0.1,-0.1,1,20,2,2,13,Matches
53,Folarin Balogun,us USA,FW,Monaco,23-312,2001,6.8,85,125,68.0,959,126,46,61,75.4,19,31,61.3,2,5,40.0,0,0.9,1.2,-0.9,6,5,1,0,9,Matches
54,Abdoulaye Bamba,ci CIV,DF,Angers,35-016,1990,16.8,518,585,88.5,10459,3330,126,139,90.6,341,364,93.7,44,68,64.7,0,0.3,0.3,-0.3,6,19,4,3,16,Matches
55,Mohamed Bamba,ci CIV,MF,Reims,20-215,2004,0.1,16,19,84.2,336,82,7,8,87.5,5,7,71.4,4,4,100.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches
56,Valentín Barco,ar ARG,"MF,DF",Strasbourg,20-292,2004,12.1,594,719,82.6,9375,2479,321,350,91.7,226,269,84.0,37,69,53.6,2,1.5,1.4,+0.5,8,53,9,2,58,Matches
57,Bradley Barcola,fr FRA,FW,Paris S-G,22-251,2002,23.6,733,896,81.8,10040,2415,476,533,89.3,220,270,81.5,20,33,60.6,10,10.0,5.4,0.0,49,28,49,3,95,Matches
58,Melvin Bard,fr FRA,"DF,MF",Nice,24-186,2000,20.5,870,1120,77.7,14682,5192,432,467,92.5,361,452,79.9,62,142,43.7,0,1.7,2.3,-1.7,14,75,24,12,85,Matches
59,Gabriel Bares,ch SUI,"MF,DF",Montpellier,24-255,2000,0.6,34,40,85.0,590,199,17,19,89.5,13,14,92.9,4,7,57.1,0,0.0,0.0,0.0,0,5,0,0,3,Matches
60,Dylan Batubinsika,cd COD,DF,Saint-Étienne,29-085,1996,21.9,1075,1174,91.6,19582,6087,385,400,96.3,614,652,94.2,65,103,63.1,0,0.2,0.4,-0.2,4,46,3,1,49,Matches
61,Haris Belkebla,dz ALG,MF,Angers,31-103,1994,19.9,727,830,87.6,11935,3432,353,383,92.2,310,344,90.1,47,62,75.8,1,0.9,0.3,+0.1,5,68,3,0,69,Matches
62,Yassin Belkhdim,fr FRA,MF,Angers,23-086,2002,16.9,394,487,80.9,5963,1404,216,239,90.4,149,179,83.2,20,34,58.8,1,0.6,0.5,+0.4,5,27,3,1,37,Matches
63,Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,20-084,2005,18.5,715,905,79.0,10117,2913,430,489,87.9,221,278,79.5,33,75,44.0,3,4.9,4.2,-1.9,32,66,44,3,118,Matches
64,Ismaël Bennacer,dz ALG,MF,Marseille,27-161,1997,6.5,685,754,90.8,10674,2938,356,372,95.7,267,277,96.4,44,71,62.0,2,1.8,1.4,+0.2,12,77,12,1,71,Matches
65,Saïd Benrahma,dz ALG,"FW,MF",Lyon,29-274,1995,8.2,258,358,72.1,3787,1234,151,173,87.3,77,113,68.1,17,33,51.5,3,2.1,2.7,+0.9,14,21,19,3,32,Matches
66,Nabil Bentaleb,dz ALG,MF,Lille,30-168,1994,3.7,210,244,86.1,3946,1248,72,81,88.9,108,117,92.3,21,30,70.0,0,0.0,0.2,0.0,1,17,2,0,23,Matches
67,Lucas Beraldo,br BRA,DF,Paris S-G,21-168,2003,22.2,2001,2120,94.4,35315,12515,758,787,96.3,1085,1124,96.5,129,159,81.1,0,0.4,0.9,-0.4,8,168,13,2,131,Matches
68,Maxime Bernauer,fr FRA,DF,Saint-Étienne,26-314,1998,7.5,371,424,87.5,7391,3085,120,127,94.5,206,217,94.9,43,71,60.6,0,0.0,0.1,0.0,1,28,2,0,36,Matches
69,Dimitry Bertaud,cd COD,GK,Montpellier,26-339,1998,3.0,63,92,68.5,1921,1513,7,7,100.0,32,32,100.0,24,52,46.2,0,0.0,0.0,0.0,0,3,0,0,0,Matches
70,Mika Biereth,dk DEN,FW,Monaco,22-092,2003,13.6,149,241,61.8,2062,532,85,131,64.9,48,68,70.6,7,8,87.5,2,4.5,3.2,-2.5,22,11,16,1,24,Matches
71,Emmanuel Biumla,fr FRA,DF,Angers,20-003,2005,14.6,439,497,88.3,8819,2629,108,123,87.8,299,314,95.2,29,52,55.8,0,0.0,0.1,0.0,1,13,1,0,16,Matches
