Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
22,Aliou Badara Baldé,gn GUI,"MF,FW",Bochum,22-150,2002,5,0,91,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,1,5,0.00,0.00,0.00,0.00,0.00,0.18,0.17,0.35,0.18,0.35,Matches
23,Ridle Baku,de GER,"FW,MF",Wolfsburg,27-033,1998,15,14,1170,13.0,2,1,3,2,0,0,2,0,1.5,1.5,1.3,2.7,16,44,78,0.15,0.08,0.23,0.15,0.23,0.11,0.10,0.21,0.11,0.21,Matches
24,Ridle Baku,de GER,"DF,MF",RB Leipzig,27-033,1998,18,14,1185,13.2,1,2,3,1,0,0,1,0,1.2,1.2,0.9,2.0,20,37,91,0.08,0.15,0.23,0.08,0.23,0.09,0.07,0.16,0.09,0.16,Matches
25,Samuel Bamba,de GER,"FW,MF",Bochum,21-087,2004,5,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,5,8,0.00,0.00,0.00,0.00,0.00,0.35,0.10,0.45,0.35,0.45,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Noahkai Banks,us USA,DF,Augsburg,18-161,2006,8,2,278,3.1,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,8,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
27,Scott Banks,sct SCO,"FW,MF",St. Pauli,23-227,2001,11,0,101,1.1,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,3,1,8,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25,Matches
28,Aymen Barkok,ma MAR,MF,Mainz 05,26-355,1998,4,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,5,6,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,Matches
29,Michy Batshuayi,be BEL,FW,Eint Frankfurt,31-221,1993,8,3,253,2.8,2,0,2,2,0,0,2,0,0.8,0.8,0.0,0.9,3,7,11,0.71,0.00,0.71,0.71,0.71,0.30,0.02,0.31,0.30,0.31,Matches
30,Maximilian Bauer,de GER,DF,Augsburg,25-091,2000,11,8,658,7.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,4,30,7,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04,Matches
