Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
350,Alessandro Marcandalli,it ITA,DF,Genoa,22-228,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
351,Alessandro Marcandalli,it ITA,DF,Venezia,22-228,2002,3.8,0,2,1,50.0,0.53,0.26,0.00,0.00,6.3,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
352,Filip Marchwiński,pl POL,MF,Lecce,23-121,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
353,Pablo Marí,es ESP,DF,Monza,31-253,1993,18.1,0,2,0,0.0,0.11,0.00,0.00,,9.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
354,Pablo Marí,es ESP,DF,Fiorentina,31-253,1993,9.2,0,3,1,33.3,0.33,0.11,0.00,0.00,21.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
355,Luca Marianucci,it ITA,DF,Empoli,20-292,2004,11.4,0,7,2,28.6,0.62,0.18,0.00,0.00,19.8,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
356,Mirko Marić,hr CRO,"FW,MF",Monza,29-360,1995,1.2,0,1,0,0.0,0.85,0.00,0.00,,16.0,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
357,Mirko Marić,hr CRO,FW,Venezia,29-360,1995,3.5,0,6,0,0.0,1.70,0.00,0.00,,13.6,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
358,Rafa Marín,es ESP,DF,Napoli,22-357,2002,1.6,0,2,1,50.0,1.27,0.63,0.00,0.00,16.6,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
