Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
30,Maximilian Bauer,de GER,DF,Augsburg,25-091,2000,7.3,422,45,177,222,24,3,422,0,0,,0,,216,991,539,4,4,0,6,2,260,7,Matches
31,Oliver Baumann,de GER,GK,Hoffenheim,34-343,1990,27.0,1102,868,1078,25,0,0,1102,1,1,100.0,0,0.0,643,3020,1709,0,0,0,0,0,549,0,Matches
32,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,25-283,1999,17.7,901,49,167,444,308,65,901,41,16,39.0,19,46.3,430,2510,1392,36,34,7,47,31,567,93,Matches
33,Adrian Beck,de GER,"MF,FW",Heidenheim,27-336,1997,17.3,934,23,183,485,286,51,934,73,38,52.1,30,41.1,536,2976,1146,35,16,11,39,25,562,80,Matches
34,Timo Becker,de GER,DF,Holstein Kiel,28-047,1997,26.2,1288,131,658,507,139,27,1288,25,11,44.0,14,56.0,570,3316,1681,28,26,1,25,9,663,38,Matches
35,Hannes Behrens,de GER,DF,Hoffenheim,,,0.3,27,0,2,11,14,2,27,1,1,100.0,0,0.0,13,59,25,0,1,0,2,0,13,7,Matches
36,Kevin Behrens,de GER,FW,Wolfsburg,34-097,1991,1.7,95,2,7,40,48,15,95,1,0,0.0,1,100.0,35,154,80,2,1,1,8,1,72,17,Matches
37,Maximilian Beier,de GER,"FW,MF",Dortmund,22-206,2002,17.7,618,16,73,245,308,88,618,51,22,43.1,27,52.9,338,1481,748,24,12,9,39,26,423,124,Matches
38,Stefan Bell,de GER,DF,Mainz 05,33-260,1991,15.0,904,126,495,374,39,30,904,6,2,33.3,3,50.0,396,1837,955,8,1,1,12,4,466,5,Matches
39,Jeanuël Belocian,fr FRA,"DF,MF",Leverkusen,20-083,2005,0.8,44,2,9,20,15,1,44,1,1,100.0,0,0.0,16,89,39,0,2,0,2,0,32,1,Matches
40,László Bénes,sk SVK,"MF,FW",Union Berlin,27-244,1997,6.5,396,1,52,187,159,13,396,5,1,20.0,4,80.0,204,774,347,6,7,3,8,5,244,34,Matches
41,Ramy Bensebaini,dz ALG,DF,Dortmund,30-025,1995,20.5,1578,98,475,803,310,34,1578,17,5,29.4,10,58.8,824,3301,1543,21,27,2,16,6,957,56,Matches
42,Mergim Berisha,de GER,"FW,MF",Hoffenheim,27-000,1998,3.7,93,5,11,35,47,12,93,8,3,37.5,5,62.5,60,195,78,2,3,1,6,3,69,18,Matches
43,Mergim Berisha,de GER,FW,Augsburg,27-000,1998,0.4,18,1,1,8,9,3,18,0,0,,0,,11,71,34,2,0,1,2,3,14,8,Matches
44,Bernardo,br BRA,DF,Bochum,29-362,1995,18.8,1193,108,524,578,98,28,1193,5,3,60.0,2,40.0,599,3027,1457,14,7,1,10,8,655,14,Matches
45,Alexander Bernhardsson,se SWE,"FW,MF",Holstein Kiel,26-245,1998,13.2,496,22,98,217,195,39,496,49,22,44.9,23,46.9,251,1572,787,23,17,12,34,18,290,69,Matches
46,Matúš Bero,sk SVK,MF,Bochum,29-247,1995,27.5,1566,57,254,709,625,54,1565,54,18,33.3,36,66.7,706,3097,1356,27,36,8,46,23,796,108,Matches
