Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
382,Bilal Nadir,ma MAR,MF,Marseille,21-164,2003,4.0,1,8,3,37.5,2.02,0.76,0.13,0.33,18.4,1,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
383,Mahamadou Nagida,cm CMR,DF,Rennes,19-317,2005,4.8,2,6,3,50.0,1.26,0.63,0.33,0.67,16.6,1,0,0,1.5,1.5,0.25,+0.5,+0.5,Matches
384,Keito Nakamura,jp JPN,"FW,MF",Reims,24-287,2000,29.4,11,84,32,38.1,2.85,1.09,0.13,0.34,16.8,1,0,0,9.1,9.1,0.11,+1.9,+1.9,Matches
385,Sebastian Nanasi,se SWE,"MF,FW",Strasbourg,22-360,2002,22.4,5,27,11,40.7,1.20,0.49,0.19,0.45,12.4,1,0,0,6.0,6.0,0.22,-1.0,-1.0,Matches
386,Yael Nandjou,fr FRA,DF,Nice,19-309,2005,1.7,0,1,0,0.0,0.58,0.00,0.00,,7.5,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches
387,Youssouf Ndayishimiye,bi BDI,DF,Nice,26-196,1998,21.5,3,11,4,36.4,0.51,0.19,0.27,0.75,15.0,0,0,0,0.9,0.9,0.08,+2.1,+2.1,Matches
388,Junior Ndiaye,fr FRA,FW,Montpellier,20-043,2005,3.9,0,4,2,50.0,1.03,0.51,0.00,0.00,16.1,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
389,Rassoul Ndiaye,sn SEN,MF,Le Havre,23-151,2001,11.8,1,17,4,23.5,1.44,0.34,0.06,0.25,17.7,0,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches
390,Wilfried Ndollo,cm CMR,DF,Montpellier,19-302,2005,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
391,Tanguy Ndombele,fr FRA,MF,Nice,28-134,1996,12.6,1,11,2,18.2,0.88,0.16,0.09,0.50,13.8,0,0,0,2.4,2.4,0.21,-1.4,-1.4,Matches
392,Loïc Nego,hu HUN,"DF,FW",Le Havre,34-116,1991,26.3,0,11,2,18.2,0.42,0.08,0.00,0.00,17.1,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
393,João Neves,pt POR,"MF,DF",Paris S-G,20-226,2004,19.8,3,27,11,40.7,1.36,0.55,0.11,0.27,13.2,0,0,0,3.0,3.0,0.11,0.0,0.0,Matches
394,Mikayil Ngor Faye,sn SEN,DF,Rennes,20-301,2004,7.6,0,6,3,50.0,0.78,0.39,0.00,0.00,16.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
395,Steve Ngoura,fr FRA,FW,Le Havre,20-078,2005,3.2,0,10,2,20.0,3.11,0.62,0.00,0.00,11.9,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches
396,Bernard Nguene,cm CMR,FW,Nice,18-280,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
397,Moussa Niakhate,sn SEN,DF,Lyon,29-064,1996,29.3,0,2,1,50.0,0.07,0.03,0.00,0.00,7.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
398,Abdoulaye Niakhate Ndiaye,sn SEN,DF,Brest,23-031,2002,18.0,1,11,2,18.2,0.61,0.11,0.09,0.50,9.1,0,0,0,1.0,1.0,0.09,0.0,0.0,Matches
399,Ibrahima Niane,sn SEN,FW,Angers,26-061,1999,10.5,3,29,10,34.5,2.77,0.95,0.07,0.20,14.6,0,1,1,5.7,4.9,0.17,-2.7,-2.9,Matches
400,Rasmus Nicolaisen,dk DEN,DF,Toulouse,28-056,1997,6.9,0,5,0,0.0,0.72,0.00,0.00,,8.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
401,Arnaud Nordin,fr FRA,FW,Montpellier,26-328,1998,13.0,4,26,11,42.3,2.01,0.85,0.12,0.27,18.2,0,1,2,4.1,2.5,0.10,-0.1,+0.5,Matches
402,Plamedi Nsingi,,MF,Nantes,24-145,2000,0.2,0,1,1,100.0,5.63,5.63,0.00,0.00,10.9,0,0,0,0.2,0.2,0.23,-0.2,-0.2,Matches
403,Ernest Nuamah,gh GHA,"FW,MF",Lyon,21-191,2003,11.7,3,28,13,46.4,2.40,1.11,0.11,0.23,17.3,0,0,0,2.2,2.2,0.08,+0.8,+0.8,Matches
404,Rabby Nzingoula,cg CGO,MF,Montpellier,19-167,2005,18.3,1,19,6,31.6,1.04,0.33,0.05,0.17,20.7,0,0,0,1.0,1.0,0.06,0.0,0.0,Matches
405,M'Bala Nzola,ao ANG,FW,Lens,28-266,1996,16.2,6,47,18,38.3,2.90,1.11,0.13,0.33,12.1,0,0,0,8.6,8.6,0.19,-2.6,-2.6,Matches
406,Marwann Nzuzi,fr FRA,DF,Saint-Étienne,20-360,2004,1.4,0,2,1,50.0,1.44,0.72,0.00,0.00,24.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
407,Hamzat Ojediran,ng NGA,"MF,FW",Lens,21-178,2003,4.6,1,10,3,30.0,2.16,0.65,0.10,0.33,22.1,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
408,Joseph Okumu,ke KEN,DF,Reims,27-350,1997,17.8,1,12,2,16.7,0.67,0.11,0.08,0.50,16.5,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches
409,Kazeem Olaigbe,be BEL,"MF,FW",Rennes,22-129,2003,3.1,0,6,2,33.3,1.94,0.65,0.00,0.00,21.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
410,Ben Old,nz NZL,"FW,MF",Saint-Étienne,22-271,2002,5.6,0,11,2,18.2,1.96,0.36,0.00,0.00,18.7,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Matches
411,Warmed Omari,km COM,DF,Lyon,25-018,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
412,Becir Omeragic,ch SUI,"DF,MF",Montpellier,23-111,2002,19.0,0,6,3,50.0,0.32,0.16,0.00,0.00,16.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
413,Andrew Omobamidele,ie IRL,DF,Strasbourg,22-322,2002,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
414,Ado Onaiwu,jp JPN,"MF,FW",Auxerre,29-184,1995,10.4,4,23,14,60.9,2.21,1.34,0.17,0.29,13.9,0,0,0,4.0,4.0,0.18,0.0,0.0,Matches
415,Christopher Operi,ci CIV,"DF,FW",Le Havre,28-012,1997,13.0,0,7,1,14.3,0.54,0.08,0.00,0.00,22.0,2,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
416,Fredrik Oppegard,no NOR,DF,Auxerre,22-277,2002,2.8,0,3,1,33.3,1.07,0.36,0.00,0.00,20.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
417,Victor Orakpo,ng NGA,FW,Nice,18-331,2006,0.4,0,2,0,0.0,5.00,0.00,0.00,,10.4,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
418,Ike Orazi,ie IRL,MF,Reims,17-334,2007,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
419,Gift Orban,ng NGA,"FW,DF",Lyon,22-298,2002,2.1,2,4,3,75.0,1.94,1.45,0.50,0.67,8.7,0,0,0,1.2,1.2,0.30,+0.8,+0.8,Matches
420,Gabriel Osho,ng NGA,DF,Auxerre,26-270,1998,17.4,1,7,3,42.9,0.40,0.17,0.14,0.33,10.1,0,0,0,1.0,1.0,0.14,0.0,0.0,Matches
421,Jibril Othman,tn TUN,FW,Saint-Étienne,21-015,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
