Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
37,Anuar,ma MAR,"MF,FW",Valladolid,30-116,1995,16.8,35,24,20,10,5,13,26,50.0,13,22,7,15,15,50,19,1,Matches
38,Aritz Arambarri,es ESP,DF,Leganés,27-100,1998,2.0,1,1,1,0,0,1,1,100.0,0,2,2,0,3,4,8,0,Matches
39,Mauro Arambarri,uy URU,MF,Getafe,29-223,1995,26.9,45,26,9,31,5,21,44,47.7,23,33,6,27,13,58,41,0,Matches
40,Jon Aramburu,ve VEN,DF,Real Sociedad,22-292,2002,25.7,94,67,55,29,10,62,95,65.3,33,35,8,27,28,122,96,0,Matches
41,Ronald Araújo,uy URU,DF,Barcelona,26-065,1999,7.1,12,9,6,5,1,4,4,100.0,0,6,4,2,8,20,19,0,Matches
42,Adu Ares,es ESP,FW,Athletic Club,23-211,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
43,Jesús Areso,es ESP,DF,Osasuna,25-313,1999,30.2,45,34,29,11,5,35,51,68.6,16,25,4,21,8,53,79,0,Matches
44,David Argüelles,es ESP,MF,Getafe,23-130,2002,0.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
45,José Arnaiz,es ESP,"MF,FW",Osasuna,30-026,1995,1.4,6,4,3,2,1,4,7,57.1,3,2,0,2,3,9,1,0,Matches
46,Sergio Arribas,es ESP,DF,Betis,22-090,2003,1.0,7,4,4,3,0,6,7,85.7,1,2,2,0,3,10,4,0,Matches
47,Takuma Asano,jp JPN,"FW,MF",Mallorca,30-182,1994,11.7,13,9,5,7,1,6,11,54.5,5,7,0,7,6,19,9,0,Matches
48,Raúl Asencio,es ESP,DF,Real Madrid,22-087,2003,15.9,19,13,16,3,0,9,12,75.0,3,6,4,2,12,31,77,2,Matches
49,Iago Aspas,es ESP,"FW,MF",Celta Vigo,37-283,1987,18.2,13,8,4,5,4,8,19,42.1,11,16,1,15,7,20,5,0,Matches
50,Yaser Asprilla,co COL,"FW,MF",Girona,21-173,2003,12.8,16,10,5,7,4,6,16,37.5,10,10,0,10,5,21,4,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Ezequiel Ávila,ar ARG,FW,Betis,31-094,1994,7.5,8,3,2,2,4,4,10,40.0,6,4,0,4,2,10,8,0,Matches
52,Adam Aznou,ma MAR,DF,Valladolid,18-343,2006,8.5,25,19,19,6,0,19,37,51.4,18,21,7,14,9,34,25,0,Matches
53,César Azpilicueta,es ESP,DF,Atlético Madrid,35-256,1989,8.2,23,12,11,8,4,16,22,72.7,6,6,2,4,3,26,27,0,Matches
54,Papa Ba,es ESP,MF,Girona,20-241,2004,0.5,1,1,1,0,0,0,0,,0,1,0,1,0,1,1,0,Matches
55,Loïc Bade,fr FRA,DF,Sevilla,25-030,2000,28.7,43,25,33,10,0,21,29,72.4,8,19,11,8,29,72,154,2,Matches
56,Alex Baena,es ESP,MF,Villarreal,23-295,2001,26.2,27,14,6,13,8,10,34,29.4,24,28,2,26,21,48,21,2,Matches
57,Juma Bah,sl SLE,DF,Valladolid,19-030,2006,9.6,10,7,7,3,0,3,5,60.0,2,15,8,7,12,22,60,0,Matches
58,Eric Bailly,ci CIV,DF,Villarreal,31-029,1994,6.9,12,4,6,6,0,3,4,75.0,1,12,6,6,6,18,29,0,Matches
59,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,20-201,2004,10.2,28,14,12,13,3,11,27,40.7,16,24,4,20,15,43,24,1,Matches
60,Cédric Bakambu,cd COD,FW,Betis,34-030,1991,6.9,6,4,0,5,1,3,7,42.9,4,11,2,9,0,6,5,0,Matches
61,Alejandro Balde,es ESP,DF,Barcelona,21-205,2003,23.1,16,10,9,4,3,9,14,64.3,5,23,4,19,5,21,25,0,Matches
62,Iván Balliu,al ALB,DF,Rayo Vallecano,33-130,1992,11.0,15,12,7,5,3,6,16,37.5,10,14,3,11,10,25,35,0,Matches
63,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,29-046,1996,9.0,12,7,4,6,2,5,12,41.7,7,6,0,6,5,17,6,0,Matches
64,Adrian Baquerin,es ESP,FW,Valladolid,18-068,2007,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
65,Valentín Barco,ar ARG,"DF,FW",Sevilla,20-292,2004,3.2,15,9,8,3,4,12,15,80.0,3,0,0,0,2,17,5,0,Matches
66,Borna Barišić,hr CRO,DF,Leganés,32-182,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
67,Kike Barja,es ESP,"FW,MF",Osasuna,28-040,1997,2.9,5,4,1,3,1,2,3,66.7,1,5,0,5,3,8,4,0,Matches
68,Enzo Barrenechea,ar ARG,MF,Valencia,23-354,2001,21.3,52,29,21,25,6,30,42,71.4,12,25,7,18,25,77,46,1,Matches
