Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
577,Devis Vásquez,co COL,GK,Empoli,26-364,1998,30.0,608,1026,59.3,18468,13817,81,81,100.0,295,305,96.7,232,637,36.4,0,0.0,0.1,0.0,0,29,1,0,0,Matches
578,Johan Vásquez,mx MEX,DF,Genoa,26-201,1998,32.4,1440,1699,84.8,27510,8648,445,499,89.2,864,924,93.5,116,225,51.6,0,0.3,0.4,-0.3,7,75,6,2,94,Matches
579,Matías Vecino,uy URU,MF,Lazio,33-260,1991,8.6,290,355,81.7,5066,1329,123,152,80.9,139,155,89.7,23,30,76.7,2,2.2,2.2,-0.2,9,29,3,0,27,Matches
580,Danilo Veiga,pt POR,DF,Lecce,22-228,2002,3.4,85,133,63.9,1476,466,38,48,79.2,40,54,74.1,6,24,25.0,0,0.3,0.2,-0.3,6,8,5,3,9,Matches
581,Renato Veiga,pt POR,DF,Juventus,21-286,2003,10.6,442,507,87.2,8780,3123,135,146,92.5,265,284,93.3,42,72,58.3,1,0.1,0.2,+0.9,2,34,2,0,37,Matches
582,Lorenzo Venturino,it ITA,"FW,MF",Genoa,18-323,2006,1.0,18,37,48.6,333,104,8,14,57.1,8,10,80.0,1,5,20.0,0,0.2,0.1,-0.2,2,1,3,1,5,Matches
583,Simone Verdi,it ITA,"MF,FW",Como,32-303,1992,1.3,31,60,51.7,576,243,16,24,66.7,10,15,66.7,5,15,33.3,0,0.5,0.6,-0.5,6,2,3,3,5,Matches
584,Samuele Vignato,it ITA,MF,Monza,21-076,2004,5.2,126,167,75.4,1778,293,78,91,85.7,39,51,76.5,4,13,30.8,0,0.0,0.2,0.0,1,9,2,0,17,Matches
585,Nicolas Viola,it ITA,"FW,MF",Cagliari,35-211,1989,13.4,277,437,63.4,5029,1993,140,171,81.9,79,129,61.2,48,99,48.5,1,1.9,2.6,-0.9,27,34,11,2,45,Matches
586,Mattia Viti,it ITA,DF,Empoli,23-107,2002,26.6,857,1074,79.8,15595,5423,302,356,84.8,418,474,88.2,91,184,49.5,0,0.2,0.2,-0.2,3,67,2,0,79,Matches
587,Vitinha,pt POR,"FW,MF",Genoa,25-057,2000,12.5,163,274,59.5,2449,653,93,123,75.6,56,85,65.9,10,28,35.7,2,2.8,1.5,-0.8,13,11,9,6,17,Matches
588,Dušan Vlahović,rs SRB,FW,Juventus,25-103,2000,19.5,248,359,69.1,3833,399,142,180,78.9,80,113,70.8,19,27,70.4,4,1.3,0.8,+2.7,15,11,6,0,21,Matches
589,Vanja Vlahović,rs SRB,"FW,MF",Atalanta,21-049,2004,0.7,4,6,66.7,44,0,4,6,66.7,0,0,,0,0,,0,0.1,0.1,-0.1,2,0,0,0,0,Matches
590,Nikola Vlašić,hr CRO,"MF,FW",Torino,27-219,1997,20.7,545,688,79.2,7803,2091,312,363,86.0,187,233,80.3,21,34,61.8,4,2.1,1.8,+1.9,25,48,22,3,89,Matches
591,Alessandro Vogliacco,it ITA,DF,Genoa,26-239,1998,7.9,266,341,78.0,5278,2121,97,110,88.2,128,152,84.2,35,64,54.7,0,0.0,0.2,0.0,1,35,4,3,26,Matches
592,Alessandro Vogliacco,it ITA,DF,Parma,26-239,1998,8.6,437,477,91.6,8499,3028,154,160,96.3,235,247,95.1,43,61,70.5,0,0.1,0.1,-0.1,3,26,1,0,21,Matches
593,Mërgim Vojvoda,xk KVX,DF,Torino,30-099,1995,12.3,662,792,83.6,12050,3725,270,303,89.1,314,354,88.7,69,108,63.9,0,0.4,0.9,-0.4,11,47,16,9,64,Matches
594,Mërgim Vojvoda,xk KVX,DF,Como,30-099,1995,6.6,316,392,80.6,5193,1864,155,169,91.7,138,169,81.7,18,42,42.9,2,1.7,0.7,+0.3,7,28,9,2,40,Matches
595,Stefan de Vrij,nl NED,DF,Inter,33-095,1992,17.2,1205,1293,93.2,22172,7252,381,403,94.5,749,783,95.7,65,89,73.0,0,0.0,0.3,0.0,1,63,1,0,76,Matches
596,Kyle Walker,eng ENG,DF,Milan,34-348,1990,7.3,370,422,87.7,6392,1909,164,170,96.5,181,200,90.5,24,45,53.3,0,0.9,0.5,-0.9,6,26,2,0,32,Matches
597,Sebastian Walukiewicz,pl POL,DF,Torino,25-036,2000,18.2,749,924,81.1,12798,4339,343,386,88.9,330,400,82.5,63,102,61.8,0,0.3,0.6,-0.3,4,73,14,5,78,Matches
598,Sebastian Walukiewicz,pl POL,DF,Empoli,25-036,2000,2.0,48,62,77.4,874,473,21,26,80.8,18,21,85.7,7,11,63.6,0,0.1,0.0,-0.1,1,6,1,0,8,Matches
599,Timothy Weah,us USA,"DF,FW",Juventus,25-078,2000,17.9,649,776,83.6,10329,2621,338,364,92.9,269,305,88.2,30,62,48.4,2,1.6,1.2,+0.4,18,38,13,6,54,Matches
600,Mateusz Wieteska,pl POL,DF,Cagliari,28-089,1997,2.0,82,95,86.3,1672,723,19,21,90.5,56,60,93.3,6,11,54.5,0,0.2,0.2,-0.2,1,3,1,0,5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
601,John Yeboah,ec ECU,"FW,MF",Venezia,24-322,2000,11.0,204,282,72.3,2625,725,134,160,83.8,47,62,75.8,11,22,50.0,1,1.5,1.3,-0.5,17,15,8,0,30,Matches
