Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
30,Cameron Archer,eng ENG,FW,Southampton,23-294,2001,15.5,2,27,9,33.3,1.74,0.58,0.07,0.22,13.1,0,0,1,5.1,4.3,0.16,-3.1,-2.3,Matches
31,Alphonse Areola,fr FRA,GK,West Ham,32-073,1993,23.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
32,Joe Aribo,ng NGA,"MF,DF",Southampton,28-294,1996,21.7,3,17,7,41.2,0.78,0.32,0.18,0.43,14.0,0,0,0,2.7,2.7,0.16,+0.3,+0.3,Matches
33,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-090,1997,13.9,2,25,7,28.0,1.80,0.50,0.08,0.29,16.6,0,0,1,3.3,2.3,0.09,-1.3,-0.3,Matches
34,Harrison Armstrong,eng ENG,MF,Everton,18-112,2007,0.5,0,1,0,0.0,1.87,0.00,0.00,,5.8,0,0,0,0.4,0.4,0.37,-0.4,-0.4,Matches
35,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-220,1994,29.0,0,1,0,0.0,0.03,0.00,0.00,,9.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
36,Marco Asensio,es ESP,MF,Aston Villa,29-110,1996,6.8,3,18,8,44.4,2.66,1.18,0.17,0.38,19.0,1,0,2,4.3,2.7,0.15,-1.3,+0.3,Matches
37,Brandon Austin,eng ENG,GK,Tottenham,26-123,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
38,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-272,1997,4.5,1,10,4,40.0,2.21,0.88,0.10,0.25,12.6,0,0,0,2.1,2.1,0.21,-1.1,-1.1,Matches
39,Yasin Ayari,se SWE,MF,Brighton,21-217,2003,20.5,1,26,7,26.9,1.27,0.34,0.04,0.14,18.8,2,0,0,2.3,2.3,0.09,-1.3,-1.3,Matches
40,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-242,1991,0.2,0,1,0,0.0,4.29,0.00,0.00,,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5,Matches
41,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-242,1991,15.8,5,28,8,28.6,1.77,0.51,0.14,0.50,18.8,4,1,1,3.0,2.2,0.08,+2.0,+1.8,Matches
42,Benoît Badiashile,fr FRA,DF,Chelsea,24-046,2001,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-275,1997,12.6,1,28,6,21.4,2.21,0.47,0.04,0.17,17.3,2,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches
44,Carlos Baleba,cm CMR,MF,Brighton,21-128,2004,27.6,3,41,11,26.8,1.49,0.40,0.07,0.27,25.3,1,0,0,3.0,3.0,0.07,0.0,0.0,Matches
45,Ross Barkley,eng ENG,MF,Aston Villa,31-157,1993,6.3,3,15,5,33.3,2.36,0.79,0.20,0.60,14.0,0,0,0,1.7,1.7,0.11,+1.3,+1.3,Matches
46,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-153,1997,16.7,9,55,18,32.7,3.29,1.08,0.16,0.50,15.0,0,0,0,6.6,6.6,0.12,+2.4,+2.4,Matches
47,Calvin Bassey,ng NGA,DF,Fulham,25-131,1999,33.2,1,14,4,28.6,0.42,0.12,0.07,0.25,15.3,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
48,Altay Bayındır,tr TUR,GK,Manchester Utd,27-027,1998,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
49,Jan Bednarek,pl POL,DF,Southampton,29-029,1996,28.1,2,5,2,40.0,0.18,0.07,0.40,1.00,16.0,0,0,0,0.7,0.7,0.13,+1.3,+1.3,Matches
50,Armel Bella Kotchap,de GER,DF,Southampton,23-151,2001,3.7,0,1,0,0.0,0.27,0.00,0.00,,9.1,0,0,0,0.3,0.3,0.32,-0.3,-0.3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-318,1998,17.6,2,21,5,23.8,1.19,0.28,0.10,0.40,21.5,2,0,0,1.4,1.4,0.07,+0.6,+0.6,Matches
52,Rodrigo Bentancur,uy URU,MF,Tottenham,27-320,1997,16.9,2,22,5,22.7,1.30,0.30,0.09,0.40,17.4,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
53,Daniel Bentley,eng ENG,GK,Wolves,31-302,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
54,Sander Berge,no NOR,MF,Fulham,27-086,1998,24.1,0,2,0,0.0,0.08,0.00,0.00,,7.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
55,Lucas Bergvall,se SWE,MF,Tottenham,19-098,2006,13.5,0,12,2,16.7,0.89,0.15,0.00,0.00,19.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
56,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-146,2002,26.4,0,3,0,0.0,0.11,0.00,0.00,,17.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
57,Beto,gw GNB,FW,Everton,27-100,1998,15.1,8,43,22,51.2,2.85,1.46,0.19,0.36,13.0,0,0,0,7.0,7.0,0.16,+1.0,+1.0,Matches
58,Philip Billing,dk DEN,MF,Bournemouth,28-334,1996,2.0,0,5,1,20.0,2.45,0.49,0.00,0.00,17.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
59,Yves Bissouma,ml MLI,MF,Tottenham,28-254,1996,14.4,2,11,4,36.4,0.76,0.28,0.18,0.50,23.4,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches
60,Oscar Bobb,no NOR,FW,Manchester City,21-303,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
61,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-126,2004,5.3,0,1,1,100.0,0.19,0.19,0.00,0.00,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
62,Willy Boly,ci CIV,DF,Nott'ham Forest,34-097,1991,1.7,0,1,1,100.0,0.60,0.60,0.00,0.00,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
63,Sven Botman,nl NED,DF,Newcastle Utd,25-119,2000,2.6,0,1,0,0.0,0.39,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-142,1996,30.2,10,78,32,41.0,2.58,1.06,0.12,0.28,17.4,1,1,1,8.0,7.3,0.09,+2.0,+1.7,Matches
65,Conor Bradley,nir NIR,DF,Liverpool,21-306,2003,6.3,0,9,3,33.3,1.43,0.48,0.00,0.00,14.3,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
66,Jarrad Branthwaite,eng ENG,DF,Everton,22-318,2002,27.1,0,9,3,33.3,0.33,0.11,0.00,0.00,8.5,0,0,0,1.2,1.2,0.13,-1.2,-1.2,Matches
